,features/alcohol,features/chlorides,features/citric acid,features/density,features/fixed acidity,features/free sulfur dioxide,features/pH,features/residual sugar,features/sulphates,features/total sulfur dioxide,features/volatile acidity,quality,type
709,9.5,0.079,0.31,0.99716,7.6,26.0,3.46,1.7,0.6200000047683716,65.0,0.36,6,red
710,9.8,0.083,0.26,0.99616,7.4,17.0,3.29,2.1,0.5600000023841858,91.0,0.6,6,red
711,11.5,0.039,0.66,0.99357,5.8,15.0,3.66,2.0,0.6000000238418579,88.0,1.01,6,red
712,9.8,0.082,0.0,0.9964,7.8,8.0,3.38,2.0,0.5899999737739563,16.0,0.645,6,red
713,10.0,0.062,0.47,0.9983,9.7,13.0,3.27,1.6,0.6600000262260437,33.0,0.31,6,red
714,9.1,0.098,0.29,0.9988,8.8,5.0,3.36,2.2,0.49000000953674316,15.0,0.6,5,red
715,11.1,0.095,0.49,1.00315,15.5,10.0,2.92,4.2,0.7400000095367432,23.0,0.645,5,red
716,9.6,0.094,0.19,0.99713,7.4,19.0,3.16,5.2,0.5199999809265137,98.0,0.785,6,red
717,9.3,0.403,0.68,0.99632,8.6,19.0,3.02,1.8,1.149999976158142,56.0,0.635,5,red
718,11.9,0.082,0.0,0.9936,6.6,5.0,3.5,1.8,0.4399999976158142,16.0,0.96,6,red
719,11.3,0.062,0.32,0.9947,7.2,15.0,3.23,2.0,0.7300000190734863,28.0,0.37,7,red
720,10.3,0.069,0.48,0.9959,6.3,18.0,3.44,1.8,0.7799999713897705,61.0,0.3,6,red
721,12.8,0.067,0.32,0.9928,6.8,4.0,3.36,1.8,0.550000011920929,8.0,0.36,7,red
722,9.0,0.178,0.09,0.9962,7.3,10.0,3.3,1.7,0.5699999928474426,89.0,1.07,5,red
723,11.8,0.064,0.01,0.99371,7.7,31.0,3.41,2.1,0.5699999928474426,43.0,0.715,6,red
724,10.5,0.084,0.02,0.99538,7.5,13.0,3.36,1.7,0.5400000214576721,31.0,0.51,6,red
725,10.2,0.143,0.12,0.9964,7.7,7.0,3.35,2.2,0.6499999761581421,23.0,0.915,7,red
726,10.5,0.09,0.5,0.99734,11.3,20.0,3.15,1.8,0.5699999928474426,47.0,0.37,5,red
727,9.5,0.079,0.31,0.99668,6.9,21.0,3.47,2.0,0.550000011920929,51.0,0.41,6,red
728,11.8,0.085,0.68,0.997,11.0,10.0,3.18,2.55,0.6100000143051147,25.0,0.26,5,red
729,9.5,0.093,0.11,0.99888,9.1,11.0,3.31,2.8,0.550000011920929,44.0,0.68,6,red
730,11.3,0.12,0.12,0.99519,6.4,25.0,3.47,2.3,0.7099999785423279,36.0,0.57,7,red
731,10.0,0.076,0.04,0.9964,7.8,17.0,3.33,1.7,0.5600000023841858,31.0,0.53,6,red
732,11.0,0.064,0.36,0.99604,8.6,53.0,3.47,1.9,0.8700000047683716,77.0,0.22,7,red
733,9.5,0.07,0.18,0.99768,7.3,12.0,3.52,2.1,0.7300000190734863,28.0,0.51,6,red
734,13.4,0.114,0.68,0.997,10.6,6.0,3.06,4.1,0.6600000262260437,24.0,0.44,6,red
735,12.7,0.075,0.19,0.9956,6.3,15.0,3.56,3.2,0.5199999809265137,39.0,0.36,6,red
736,10.4,0.058,0.0,0.9977,9.1,5.0,3.18,1.9,0.6299999952316284,10.0,0.6,6,red
737,12.8,0.078,0.46,0.9973,7.9,15.0,3.35,3.6,0.8600000143051147,37.0,0.35,8,red
738,10.0,0.103,0.24,0.9978,9.9,6.0,3.34,2.3,0.5199999809265137,14.0,0.5,4,red
739,10.2,0.124,0.0,0.9997,6.8,21.0,3.46,5.6,0.7200000286102295,58.0,0.69,5,red
740,10.4,0.075,0.3,0.9959,7.8,8.0,3.31,1.9,0.5600000023841858,22.0,0.5,6,red
741,9.5,0.088,0.23,0.9962,7.7,17.0,3.32,2.1,0.47999998927116394,96.0,0.67,5,red
742,12.9,0.045,0.05,0.9924,5.6,12.0,3.56,1.4,0.8199999928474426,88.0,0.85,8,red
743,9.9,0.145,0.42,0.99832,10.4,34.0,3.38,1.5,0.8600000143051147,48.0,0.44,3,red
744,10.8,0.166,0.0,0.99551,6.5,6.0,3.56,2.3,0.5099999904632568,12.0,0.885,5,red
745,12.5,0.078,0.39,0.99444,8.3,17.0,3.31,2.4,0.7699999809265137,43.0,0.31,7,red
746,9.3,0.076,0.2,0.99494,7.5,36.0,3.1,1.7,0.4000000059604645,60.0,0.61,5,red
747,9.3,0.076,0.02,0.9972,7.2,16.0,3.44,2.5,0.5199999809265137,42.0,0.73,5,red
748,9.4,0.097,0.12,0.99596,7.7,19.0,3.16,1.7,0.49000000953674316,27.0,0.39,5,red
749,10.9,0.082,0.0,0.9964,8.1,3.0,3.54,1.8,0.47999998927116394,12.0,1.33,5,red
750,14.0,0.044,0.03,0.9908,5.5,28.0,3.5,1.8,0.8199999928474426,87.0,0.49,8,red
751,8.7,0.084,0.49,0.9988,8.2,32.0,3.34,2.6,0.75,55.0,0.42,6,red
752,13.0,0.056,0.08,0.99286,8.0,3.0,3.22,2.6,0.3700000047683716,7.0,0.6,5,red
753,9.0,0.422,0.51,0.9979,8.6,16.0,3.03,2.0,1.1699999570846558,62.0,0.49,5,red
754,14.0,0.05,0.0,0.9916,5.2,27.0,3.68,1.8,0.7900000214576721,63.0,0.34,6,red
755,9.9,0.067,0.0,0.9979,7.0,40.0,3.6,1.9,0.8100000023841858,63.0,0.685,5,red
756,10.5,0.074,0.78,0.99677,5.6,23.0,3.39,13.9,0.47999998927116394,92.0,0.31,6,red
757,9.5,0.08,0.0,0.9976,8.0,11.0,3.44,2.6,0.5299999713897705,34.0,0.71,5,red
758,9.9,0.058,0.13,0.99573,7.2,18.0,3.21,2.0,0.6800000071525574,22.0,0.53,6,red
759,9.9,0.086,0.37,0.9981,10.6,26.0,3.16,2.6,0.5199999809265137,70.0,0.83,5,red
760,10.7,0.088,0.33,0.9972,8.0,16.0,3.31,2.7,0.5799999833106995,37.0,0.62,6,red
761,11.0,0.067,0.08,0.99648,6.7,19.0,3.52,2.3,0.5699999928474426,32.0,1.04,4,red
762,10.033334,0.091,0.4,0.99704,11.6,6.0,3.07,1.4,0.6499999761581421,28.0,0.475,6,red
763,9.4,0.07,0.26,0.9981,7.3,35.0,3.37,7.2,0.49000000953674316,121.0,0.59,5,red
764,13.6,0.075,0.34,0.9933,7.4,18.0,3.38,1.8,0.8799999952316284,38.0,0.36,7,red
765,9.4,0.369,0.5,0.99634,8.5,15.0,3.01,1.9,1.100000023841858,38.0,0.44,5,red
766,10.2,0.083,0.18,0.9963,7.7,6.0,3.29,2.4,0.6000000238418579,20.0,0.61,6,red
767,9.7,0.071,0.21,0.9964,7.6,7.0,3.28,2.2,0.550000011920929,28.0,0.55,5,red
768,9.6,0.084,0.17,0.99818,8.8,25.0,3.23,2.9,0.5400000214576721,130.0,0.64,5,red
769,11.1,0.072,0.02,0.99566,7.3,31.0,3.32,2.2,0.6800000071525574,92.0,0.67,6,red
770,11.0,0.161,0.19,0.99395,5.3,7.0,3.62,1.5,0.6100000143051147,62.0,0.715,5,red
771,9.2,0.065,0.0,0.9972,6.5,9.0,3.46,1.9,0.6499999761581421,18.0,0.615,5,red
772,9.1,0.07,0.18,0.997,7.1,13.0,3.44,1.8,0.6000000238418579,40.0,0.65,5,red
773,9.2,0.094,0.49,0.9982,9.0,41.0,3.08,2.9,0.6100000143051147,110.0,0.54,5,red
774,10.6,0.071,0.25,0.99633,6.1,23.0,3.42,2.3,0.9700000286102295,58.0,0.32,5,red
775,11.0,0.074,0.46,0.99534,7.2,24.0,3.4,2.1,0.8500000238418579,44.0,0.36,7,red
776,10.0,0.102,0.0,0.99586,7.2,7.0,3.43,3.0,0.46000000834465027,16.0,1.0,5,red
777,9.2,0.097,0.08,0.9959,6.7,15.0,3.28,1.8,0.5400000214576721,65.0,0.58,5,red
778,10.6,0.104,0.6,0.99828,8.2,10.0,3.39,3.0,0.6800000071525574,22.0,0.28,5,red
779,9.7,0.075,0.25,0.99779,9.0,9.0,3.23,2.8,0.5699999928474426,104.0,0.58,5,red
780,12.5,0.075,0.2,0.99467,6.0,15.0,3.58,2.4,0.6700000166893005,50.0,0.58,6,red
781,9.8,0.085,0.49,0.9982,8.8,17.0,3.29,2.9,0.6000000238418579,110.0,0.47,5,red
782,10.5,0.087,0.14,0.9964,7.6,21.0,3.32,3.0,0.5699999928474426,43.0,0.41,6,red
783,9.3,0.093,0.0,1.0002,8.2,19.0,3.5,2.5,0.6499999761581421,58.0,0.59,6,red
784,9.6,0.06,0.45,0.9972,10.8,20.0,3.13,3.3,0.5400000214576721,49.0,0.26,5,red
785,9.8,0.114,0.14,0.99732,6.5,9.0,3.66,2.4,0.6499999761581421,37.0,0.46,5,red
786,10.2,0.073,0.4,0.9984,9.3,10.0,3.34,2.6,0.75,26.0,0.39,6,red
787,9.5,0.093,0.0,0.99558,6.6,51.0,3.2,4.3,0.44999998807907104,77.5,0.63,5,red
788,11.6,0.068,0.12,0.996,7.8,11.0,3.34,2.5,0.6100000143051147,35.0,0.545,6,red
789,12.0,0.093,0.67,0.9986,13.8,6.0,3.02,3.0,0.9300000071525574,15.0,0.49,6,red
790,11.1,0.07,0.29,0.99577,6.8,15.0,3.53,4.8,0.5400000214576721,39.0,0.915,5,red
791,10.1,0.066,0.23,0.99588,7.3,35.0,3.43,2.3,0.6200000047683716,70.0,0.32,5,red
792,10.6,0.082,0.31,0.996,8.2,8.0,3.24,1.9,0.6899999976158142,24.0,0.4,6,red
793,10.0,0.069,0.29,0.99654,9.0,32.0,3.34,2.0,0.5699999928474426,73.0,0.6,5,red
794,9.5,0.337,0.5,0.9964,8.9,27.0,3.04,2.0,1.6100000143051147,81.0,0.59,6,red
795,11.1,0.068,0.0,0.9956,7.2,10.0,3.42,2.2,0.7200000286102295,24.0,0.67,6,red
796,9.0,0.08,0.18,0.9972,8.1,13.0,3.3,1.9,0.5899999737739563,35.0,0.545,6,red
797,9.8,0.07,0.02,0.9952,8.7,36.0,3.2,1.2,0.5799999833106995,48.0,0.82,5,red
798,10.9,0.093,0.56,0.99925,12.0,6.0,3.14,2.1,0.7099999785423279,24.0,0.38,6,red
799,11.0,0.076,0.13,0.99574,6.3,29.0,3.42,2.3,0.75,40.0,0.51,6,red
800,11.1,0.058,0.27,0.99518,8.5,18.0,3.16,1.9,0.8500000238418579,38.0,0.47,6,red
801,10.9,0.073,0.1,0.99638,8.2,25.0,3.29,2.1,0.75,60.0,0.635,6,red
802,9.4,0.611,0.76,0.9968,7.7,8.0,3.06,1.8,1.2599999904632568,45.0,0.41,5,red
803,10.4,0.082,0.17,0.99634,7.1,27.0,3.49,1.8,0.6399999856948853,51.0,0.43,5,red
804,9.5,0.1,0.48,0.9961,7.8,14.0,3.19,1.7,0.6200000047683716,96.0,0.63,5,red
805,10.8,0.089,0.63,1.0014,14.0,6.0,3.01,3.8,0.8100000023841858,47.0,0.41,6,red
806,10.7,0.076,0.14,0.99624,7.1,15.0,3.36,2.8,0.49000000953674316,37.0,0.46,5,red
807,11.0,0.06,0.39,0.99495,9.1,21.0,3.18,1.8,0.8199999928474426,55.0,0.36,7,red
808,9.7,0.074,0.16,0.99606,7.0,8.0,3.37,2.1,0.550000011920929,25.0,0.655,5,red
809,11.2,0.084,0.63,0.9998,10.4,5.0,3.26,2.8,0.7400000095367432,22.0,0.33,7,red
810,9.6,0.079,0.22,0.9976,9.1,12.0,3.18,2.2,0.5099999904632568,48.0,0.775,5,red
811,11.2,0.057,0.01,0.99488,6.3,15.0,3.6,2.0,0.46000000834465027,33.0,0.98,6,red
812,11.7,0.068,0.41,0.99523,9.1,10.0,3.27,2.0,0.8500000238418579,24.0,0.3,7,red
813,12.7,0.049,0.37,0.99007,8.0,36.0,2.89,0.9,0.4399999976158142,109.0,0.18,6,red
814,11.1,0.063,0.4,0.9952,7.0,21.0,3.5,1.6,0.6299999952316284,67.0,0.23,5,red
815,10.2,0.11,0.15,0.9955,7.6,33.0,3.17,2.8,0.6299999952316284,73.0,0.51,6,red
816,11.3,0.053,0.09,0.99402,6.2,24.0,3.54,1.7,0.6000000238418579,32.0,0.56,5,red
817,11.2,0.081,0.37,0.99674,10.7,17.0,3.12,1.9,0.6499999761581421,29.0,0.4,6,red
818,11.6,0.086,0.31,1.0002,8.7,23.0,3.48,3.0,0.7400000095367432,81.0,0.69,6,red
819,9.6,0.092,0.03,0.9966,7.3,10.0,3.39,2.1,0.4699999988079071,19.0,0.835,5,red
820,10.1,0.067,0.6,0.9981,11.5,12.0,3.11,2.0,0.9700000286102295,27.0,0.3,6,red
821,9.2,0.069,0.18,0.9967,7.2,13.0,3.29,2.7,0.47999998927116394,34.0,0.49,6,red
822,9.3,0.09,0.0,0.9974,7.7,8.0,3.27,2.4,0.7300000190734863,19.0,0.665,5,red
823,9.3,0.099,0.17,0.998,8.6,21.0,3.09,2.9,0.5199999809265137,119.0,0.63,5,red
824,9.5,0.106,0.21,0.9966,7.9,10.0,3.17,1.6,0.9100000262260437,37.0,0.43,5,red
825,12.5,0.044,0.23,0.99352,6.1,16.0,3.46,2.5,0.6499999761581421,70.0,0.58,6,red
826,9.3,0.368,0.28,0.9968,8.1,16.0,3.11,1.7,1.2799999713897705,56.0,0.56,5,red
827,9.1,0.072,0.22,0.9967,8.1,11.0,3.36,2.2,0.550000011920929,41.0,0.725,5,red
828,10.8,0.071,0.55,0.9986,11.8,5.0,3.11,2.1,0.6200000047683716,19.0,0.38,6,red
829,12.5,0.122,0.64,0.998,10.2,10.0,3.23,2.9,0.6600000262260437,41.0,0.36,6,red
830,9.8,0.082,0.54,0.9997,12.5,12.0,3.11,2.3,1.3600000143051147,29.0,0.28,7,red
831,10.5,0.074,0.05,0.9962,8.0,8.0,3.34,1.9,0.949999988079071,19.0,0.705,6,red
832,9.7,0.084,0.0,0.99672,7.5,6.0,3.34,1.9,0.49000000953674316,12.0,0.755,4,red
833,9.4,0.157,0.48,0.9976,8.1,5.0,3.3,1.8,1.0499999523162842,17.0,0.38,5,red
834,9.5,0.074,0.01,0.9958,6.8,9.0,3.33,2.1,0.5600000023841858,25.0,0.51,6,red
835,9.9,0.08,0.21,0.9962,7.9,33.0,3.25,2.1,0.5099999904632568,141.0,0.69,5,red
836,12.6,0.066,0.32,0.99364,7.9,14.0,3.41,1.9,0.5600000023841858,36.0,0.31,6,red
837,9.3,0.07,0.07,0.99572,6.8,16.0,3.29,1.6,0.6000000238418579,61.0,0.66,5,red
838,10.0,0.07,0.0,0.99593,8.3,6.0,3.25,1.4,0.6399999856948853,14.0,0.53,6,red
839,12.9,0.055,0.0,0.99162,6.4,7.0,3.47,1.65,0.5299999713897705,12.0,0.69,6,red
840,10.9,0.119,0.04,0.9962,8.8,14.0,3.21,2.2,0.6000000238418579,56.0,0.55,6,red
841,11.3,0.064,0.0,0.99562,7.4,7.0,3.45,2.0,0.5799999833106995,11.0,0.58,6,red
842,9.2,0.073,0.17,0.9972,8.0,6.0,3.29,2.0,0.6100000143051147,18.0,0.42,6,red
843,11.5,0.062,0.39,0.9948,9.8,3.0,3.14,1.7,0.5699999928474426,9.0,0.3,7,red
844,9.4,0.074,0.33,0.9968,7.8,24.0,3.25,2.0,0.5400000214576721,120.0,0.59,5,red
845,9.9,0.11,0.28,0.9972,8.6,20.0,2.93,1.9,1.9500000476837158,136.0,0.49,6,red
846,10.5,0.07,0.42,0.9973,7.1,29.0,3.42,5.5,0.7200000286102295,129.0,0.43,5,red
847,9.5,0.075,0.11,0.99545,6.8,16.0,3.36,1.5,0.7900000214576721,49.0,0.5,5,red
848,11.1,0.068,0.09,0.99524,6.8,15.0,3.41,3.9,0.5199999809265137,29.0,0.68,4,red
849,10.1,0.071,0.24,0.99576,7.2,30.0,3.44,2.0,0.5799999833106995,52.0,0.34,5,red
850,9.4,0.071,0.45,0.9991,9.9,16.0,3.39,2.3,0.6200000047683716,40.0,0.54,5,red
851,9.7,0.065,0.0,0.9954,8.7,24.0,3.27,1.4,0.550000011920929,33.0,0.84,5,red
852,9.8,0.083,0.27,0.99616,7.5,17.0,3.26,2.0,0.5799999833106995,91.0,0.63,6,red
853,9.9,0.08,0.22,0.99613,8.0,25.0,3.3,2.1,0.49000000953674316,105.0,0.6,5,red
854,9.1,0.095,0.27,0.99747,8.2,5.0,3.13,2.0,0.6200000047683716,77.0,0.64,6,red
855,11.2,0.102,0.13,0.9944,7.8,17.0,3.24,2.1,0.5299999713897705,36.0,0.58,6,red
856,10.8,0.166,0.0,0.99551,6.4,6.0,3.56,2.3,0.5099999904632568,12.0,0.885,5,red
857,11.8,0.071,0.51,0.99524,8.5,45.0,3.33,1.75,0.7599999904632568,88.0,0.18,7,red
858,9.8,0.074,0.06,0.99615,7.7,9.0,3.35,1.7,0.47999998927116394,39.0,0.53,6,red
859,9.5,0.061,0.39,0.9981,10.7,7.0,3.18,2.0,0.6200000047683716,15.0,0.46,5,red
860,12.5,0.216,0.45,0.99358,8.0,5.0,3.15,2.1,0.8100000023841858,16.0,0.31,7,red
861,9.5,0.078,0.03,0.99587,7.2,7.0,3.34,1.8,0.38999998569488525,12.0,0.655,5,red
862,10.9,0.066,0.48,0.99724,10.4,6.0,3.33,1.9,0.8700000047683716,10.0,0.26,6,red
863,12.9,0.058,0.17,0.9932,4.7,17.0,3.85,2.3,0.6000000238418579,106.0,0.6,6,red
864,10.4,0.088,0.63,0.9997,12.8,13.0,3.1,2.4,0.6000000238418579,35.0,0.84,6,red
865,10.7,0.082,0.5,1.0006,11.9,6.0,3.12,2.6,0.7799999713897705,32.0,0.57,6,red
866,9.2,0.071,0.2,1.0015,10.0,13.0,3.16,11.0,0.6899999976158142,50.0,0.49,6,red
867,12.1,0.101,0.53,0.99586,8.9,3.0,3.21,4.0,0.5899999737739563,10.0,0.48,7,red
868,11.1,0.083,0.35,0.99622,9.6,17.0,3.23,2.1,0.6600000262260437,38.0,0.42,6,red
869,12.3,0.098,0.42,0.99506,8.2,3.0,3.27,2.3,0.550000011920929,9.0,0.32,6,red
870,12.0,0.092,0.58,0.99745,10.2,11.0,3.29,4.1,0.9900000095367432,24.0,0.44,7,red
871,11.6,0.065,0.0,0.99378,6.4,28.0,3.49,2.2,0.5199999809265137,52.0,0.795,5,red
872,11.5,0.069,0.42,0.9982,10.3,21.0,3.16,2.0,0.7200000286102295,51.0,0.5,6,red
873,10.6,0.077,0.24,0.9948,6.7,18.0,3.39,1.7,0.6000000238418579,34.0,0.46,6,red
874,10.6,0.074,0.6,0.99814,7.1,17.0,3.38,2.1,0.7200000286102295,25.0,0.27,6,red
875,12.1,0.073,0.41,0.99658,8.8,7.0,3.3,5.9,0.6200000047683716,13.0,0.33,7,red
876,11.5,0.103,0.58,1.0008,12.4,28.0,3.16,3.0,1.0,99.0,0.49,6,red
877,10.7,0.084,0.24,0.9972,8.1,5.0,3.37,2.1,0.7699999809265137,13.0,0.825,6,red
878,11.0,0.087,0.29,0.99645,7.4,26.0,3.39,2.6,0.6800000071525574,72.0,0.36,5,red
879,11.95,0.05,0.06,0.99348,6.2,6.0,3.57,1.6,0.5400000214576721,18.0,0.65,5,red
880,10.8,0.068,0.04,0.99582,6.6,7.0,3.53,2.3,0.5799999833106995,13.0,0.895,6,red
881,10.0,0.075,0.19,0.99522,6.0,22.0,3.39,2.0,0.7799999713897705,47.0,0.42,6,red
882,10.9,0.067,0.0,0.99517,7.1,7.0,3.4,2.2,0.5799999833106995,14.0,0.47,4,red
883,9.8,0.118,0.47,0.9982,10.9,6.0,3.3,1.8,0.75,14.0,0.39,6,red
884,12.7,0.049,0.37,0.99007,8.0,36.0,2.89,0.9,0.4399999976158142,109.0,0.18,6,red
885,11.3,0.091,0.07,0.99572,7.0,15.0,3.38,2.5,0.6000000238418579,21.0,0.69,6,red
886,9.5,0.074,0.21,0.9968,8.2,5.0,3.2,1.7,0.5199999809265137,13.0,0.73,5,red
887,10.1,0.079,0.06,0.99697,7.7,19.0,3.39,2.0,0.6200000047683716,41.0,0.6,6,red
888,11.3,0.063,0.09,0.99444,6.6,9.0,3.42,2.2,0.6899999976158142,18.0,0.44,6,red
889,11.7,0.058,0.2,0.99322,6.9,8.0,3.38,1.75,0.49000000953674316,22.0,0.58,5,red
890,11.0,0.085,0.28,0.99633,7.0,12.0,3.32,4.8,0.699999988079071,69.0,0.58,6,red
891,11.4,0.106,0.57,0.99605,7.5,5.0,3.36,2.3,0.550000011920929,12.0,0.38,6,red
892,11.1,0.095,0.49,1.00315,15.6,10.0,2.92,4.2,0.7400000095367432,23.0,0.645,5,red
893,10.8,0.059,0.3,0.9949,7.7,20.0,3.29,1.7,0.4699999988079071,38.0,0.26,6,red
894,9.3,0.088,0.31,0.9969,6.2,15.0,3.46,1.7,0.7900000214576721,64.0,0.63,5,red
895,10.5,0.073,0.25,0.99615,7.7,29.0,3.37,2.6,0.5799999833106995,63.0,0.43,6,red
896,11.1,0.088,0.21,0.99692,8.9,21.0,3.33,2.2,0.8299999833106995,39.0,0.5,6,red
897,9.4,0.08,0.51,0.9982,10.5,10.0,3.2,1.7,0.8899999856948853,24.0,0.28,6,red
898,9.3,0.088,0.3,0.9976,8.8,17.0,3.26,2.8,0.5099999904632568,46.0,0.61,4,red
899,12.0,0.067,0.27,0.99384,6.5,8.0,3.21,2.8,0.5600000023841858,44.0,0.34,6,red
900,10.0,0.089,0.31,0.9979,9.6,15.0,3.11,2.8,0.9200000166893005,46.0,0.56,6,red
901,11.4,0.098,0.44,0.9956,8.0,6.0,3.3,1.9,0.6399999856948853,15.0,0.38,6,red
902,9.5,0.157,0.29,0.9973,7.9,1.0,3.3,1.8,0.9200000166893005,44.0,0.4,6,red
903,9.3,0.075,0.2,0.9987,7.7,9.0,3.48,2.0,0.6200000047683716,39.0,0.56,5,red
904,9.25,0.074,0.21,0.99842,6.9,16.0,3.53,4.1,0.7200000286102295,65.0,0.84,6,red
905,10.6,0.071,0.4,0.9963,6.4,8.0,3.56,2.4,0.7300000190734863,19.0,0.47,6,red
906,10.1,0.096,0.49,0.99714,7.9,21.0,3.31,2.2,0.6700000166893005,59.0,0.29,6,red
907,9.2,0.077,0.13,0.99629,7.0,25.0,3.34,1.6,0.5899999737739563,42.0,0.56,5,red
908,10.9,0.08,0.39,0.99652,9.3,41.0,3.47,1.5,0.7300000190734863,55.0,0.36,6,red
909,10.0,0.084,0.08,0.9968,7.6,15.0,3.21,2.7,0.5899999737739563,48.0,0.42,5,red
910,9.9,0.078,0.18,0.99576,9.2,10.0,3.15,1.6,0.49000000953674316,21.0,0.56,5,red
911,9.1,0.086,0.47,0.997,7.4,21.0,3.36,2.0,0.5699999928474426,73.0,0.5,5,red
912,10.1,0.093,0.14,0.99724,8.3,13.0,3.36,2.5,0.5400000214576721,54.0,0.85,5,red
913,10.1,0.104,0.51,0.9996,11.5,4.0,3.28,4.0,0.9700000286102295,23.0,0.18,6,red
914,9.2,0.077,0.22,0.9967,8.1,12.0,3.29,2.1,0.5099999904632568,65.0,0.575,5,red
915,11.0,0.08,0.65,0.99817,8.6,3.0,3.27,6.4,0.5799999833106995,8.0,0.37,5,red
916,10.8,0.117,0.09,0.99655,6.6,9.0,3.35,5.5,0.49000000953674316,17.0,0.725,6,red
917,9.1,0.413,0.53,0.9979,8.4,9.0,3.06,1.8,1.059999942779541,26.0,0.37,6,red
918,10.2,0.071,0.63,0.9988,12.5,6.0,2.99,2.0,0.8700000047683716,15.0,0.46,5,red
919,9.0,0.081,0.25,0.9984,7.8,14.0,3.43,1.9,0.6499999761581421,38.0,0.52,6,red
920,10.0,0.102,0.15,0.99604,7.7,11.0,3.23,2.1,0.47999998927116394,32.0,1.005,5,red
921,9.4,0.076,0.0,0.9978,7.4,11.0,3.51,1.9,0.5600000023841858,34.0,0.7,5,red
922,10.4,0.121,0.51,0.9996,11.9,7.0,3.24,2.0,0.7599999904632568,20.0,0.38,6,red
923,12.5,0.052,0.45,0.9948,8.9,6.0,3.35,1.9,0.699999988079071,16.0,0.43,6,red
924,11.7,0.1,0.07,0.99598,6.7,20.0,3.6,2.0,0.7400000095367432,57.0,0.86,6,red
925,9.2,0.415,0.51,0.99623,8.7,12.0,3.0,1.7,1.1699999570846558,66.0,0.78,5,red
926,11.5,0.059,0.39,0.99331,7.3,7.0,3.29,1.2,0.5199999809265137,11.0,0.305,6,red
927,11.7,0.064,0.14,0.99397,6.6,13.0,3.42,2.4,0.6200000047683716,29.0,0.56,7,red
928,9.9,0.358,0.68,0.9972,7.7,5.0,3.25,3.5,1.0800000429153442,10.0,0.27,7,red
929,13.4,0.086,0.67,0.9988,11.3,6.0,3.22,5.2,0.6899999976158142,19.0,0.62,8,red
930,9.4,0.087,0.17,1.0004,9.7,20.0,3.14,2.9,0.6100000143051147,53.0,0.55,5,red
931,10.4,0.066,0.24,0.9956,7.4,18.0,3.37,1.8,0.6200000047683716,47.0,0.41,5,red
932,9.6,0.089,0.49,1.0002,12.3,5.0,3.19,2.2,0.4399999976158142,14.0,0.5,5,red
933,9.1,0.094,0.49,0.9982,9.1,38.0,3.08,2.6,0.5899999737739563,106.0,0.47,5,red
934,11.9,0.103,0.41,0.99604,9.0,6.0,3.13,2.4,0.5799999833106995,10.0,0.38,7,red
935,12.2,0.09,0.26,0.9953,5.2,23.0,3.71,2.3,0.6200000047683716,74.0,0.49,6,red
936,9.7,0.087,0.28,1.0001,9.4,18.0,3.31,3.2,0.5299999713897705,72.0,0.615,5,red
937,9.3,0.077,0.23,0.9963,7.9,23.0,3.28,1.8,0.6700000166893005,49.0,0.37,5,red
938,10.8,0.093,0.66,0.9996,12.0,12.0,3.18,3.0,0.6299999952316284,30.0,0.39,7,red
939,10.5,0.085,0.49,0.9994,11.4,10.0,3.15,2.7,0.6299999952316284,41.0,0.6,6,red
940,9.5,0.222,0.36,0.998,8.3,6.0,3.18,1.8,0.6000000238418579,16.0,0.49,6,red
941,9.5,0.08,0.35,0.9987,9.1,23.0,3.38,2.4,0.6200000047683716,78.0,0.45,5,red
942,9.7,0.078,0.03,0.99743,7.2,16.0,3.53,2.3,0.5699999928474426,86.0,0.66,5,red
943,10.8,0.071,0.07,0.9951,7.1,15.0,3.29,1.7,0.6600000262260437,24.0,0.53,6,red
944,9.6,0.114,0.08,0.9971,7.7,14.0,3.24,2.5,0.6600000262260437,46.0,0.56,6,red
945,10.0,0.083,0.25,0.99815,8.6,8.0,3.28,2.0,0.6000000238418579,28.0,0.645,6,red
946,10.5,0.062,0.09,0.99584,7.0,4.0,3.35,2.1,0.5400000214576721,9.0,0.51,5,red
947,9.8,0.077,0.01,0.995,7.8,3.0,3.16,1.6,0.46000000834465027,19.0,0.53,5,red
948,10.7,0.087,0.06,0.9965,7.9,27.0,3.36,4.0,0.6700000166893005,61.0,0.545,6,red
949,10.2,0.085,0.1,0.9956,6.8,18.0,3.34,2.1,0.5199999809265137,101.0,0.64,5,red
950,11.2,0.055,0.27,0.99516,8.6,14.0,3.18,2.3,0.800000011920929,28.0,0.47,5,red
951,9.5,0.085,0.44,0.99708,9.3,9.0,3.28,1.9,0.550000011920929,22.0,0.43,5,red
952,9.8,0.102,0.07,1.00015,9.9,32.0,3.31,3.4,0.7099999785423279,71.0,0.59,5,red
953,10.9,0.078,0.47,0.9976,10.5,6.0,3.18,1.9,1.0399999618530273,24.0,0.26,7,red
954,9.6,0.076,0.37,0.9974,8.3,8.0,3.26,1.4,0.699999988079071,23.0,0.26,6,red
955,10.2,0.068,0.3,0.99914,7.0,20.0,3.3,4.5,1.1699999570846558,110.0,0.6,5,red
956,11.1,0.087,0.57,0.99676,10.6,6.0,3.14,2.3,0.7200000286102295,20.0,0.36,7,red
957,10.0,0.06,0.0,0.99664,6.2,6.0,3.59,2.1,0.6100000143051147,13.0,0.785,4,red
